Encoding,Dataset,Decoding Time
SPRINTZ+OPTPFOR,YZ-Electricity,26.0174136736915
SPRINTZ+PFOR,YZ-Electricity,25.728900761848223
TS_2DIFF+FASTPFOR,YZ-Electricity,17.401306025526864
TS_2DIFF+NEWPFOR,YZ-Electricity,17.28178490155338
TS_2DIFF+OPTPFOR,YZ-Electricity,17.252894033837933
TS_2DIFF+PFOR,YZ-Electricity,17.46729989116454
SPRINTZ+BOS-O,YZ-Electricity,10.689917878697932
RLE+BOS-O,YZ-Electricity,17.04491936281785
TS_2DIFF+BOS-A,YZ-Electricity,173.8605916691402
RLE+BOS-A,YZ-Electricity,26.912535866231323
SPRINTZ+BOS-A,YZ-Electricity,29.65350747007025
TS_2DIFF+BWS,YZ-Electricity,11.648065697041654
RLE+BWS,YZ-Electricity,16.888295240922133
SPRINTZ+BWS,YZ-Electricity,17.59077866824973
TS_2DIFF+BOS-P,YZ-Electricity,17.60561986741862
SPRINTZ+BOS-P,YZ-Electricity,11.101019095676264
RLE+BOS-P,YZ-Electricity,16.555258731572177
